"Code","Transport","Longitude","Latitude","Station","District.Name","Neighborhood.Name"
"K011","Tram",2.05321,41.379349,"Tramvia (T3) - SANT FELIU/CONSELL COMARCAL-","",""
"K011","Tram",2.203312,41.40744,"TRAMVIA (T4) - FLUVIÀ-","Sant Martí","Provençals del Poblenou"
"K009","Funicular",2.111267,41.409124,"Funicular VALLVIDRERA - inferior-","Sarrià-Sant Gervasi","Sarrià"
"K003","RENFE",2.183101,41.430862,"RENFE - SANT ANDREU ARENAL-","Sant Andreu","Sant Andreu"
"K001","Underground",2.23821,41.444591,"METRO (L2) - PEP VENTURA-","",""
"K001","Underground",2.18566,41.382674,"METRO (L4) - BARCELONETA-","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K001","Underground",2.206472,41.423961,"METRO (L4) - LA PAU-","Sant Martí","la Verneda i la Pau"
"K001","Underground",2.177694,41.424269,"METRO (L4) - MARAGALL-","Sant Andreu","el Congrés i els Indians"
"K001","Underground",2.203212,41.40344,"METRO (L4) - POBLENOU-","Sant Martí","el Poblenou"
"K001","Underground",2.126495,41.387932,"METRO (L3) - MARIA CRISTINA (Av. Diagonal)-","Les Corts","la Maternitat i Sant Ramon"
"K003","RENFE",2.165256,41.39187,"RENFE - PASSEIG DE GRÀCIA-","Eixample","la Dreta de l'Eixample"
"K003","RENFE",2.169312,41.387546,"RENFE - CATALUNYA-","Eixample","la Dreta de l'Eixample"
"K003","RENFE",2.188597,41.409995,"RENFE - CLOT-","Sant Martí","el Clot"
"K003","RENFE",2.185449,41.384232,"RENFE - DE FRANÇA-","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K011","Tram",2.087563,41.376495,"TRAMVIA (T1,T2,T3) - PONT D'ESPLUGUES-","",""
"K011","Tram",2.066109,41.356699,"TRAMVIA (T1,T2) - LES AIGÜES-","",""
"K001","Underground",2.239146,41.445295,"METRO (L2) - PEP VENTURA-","",""
"K001","Underground",2.173104,41.388481,"METRO (L4) - URQUINAONA-","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K001","Underground",2.168592,41.40017,"METRO (L4) - VERDAGUER-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.209904,41.430056,"METRO (L2) - VERNEDA-","",""
"K001","Underground",2.118297,41.375791,"METRO (L5) - COLLBLANC-","",""
"K001","Underground",2.121098,41.37556,"METRO (L5) - COLLBLANC-","",""
"K001","Underground",2.174535,41.415996,"METRO (L4) - HOSPITAL DE SANT PAU-GUINARDÓ-","Horta-Guinardó","el Guinardó"
"K001","Underground",2.183464,41.431138,"METRO (L1) - FABRA I PUIG (Av. Meridiana)-","Sant Andreu","Sant Andreu"
"K001","Underground",2.187238,41.402882,"METRO (L1) - GLÒRIES (Pl. de les Glòries Catalanes)-","Sant Martí","el Parc i la Llacuna del Poblenou"
"K001","Underground",2.182475,41.449285,"METRO (L4,L11) - TRINITAT NOVA-","Nou Barris","la Trinitat Nova"
"K001","Underground",2.126019,41.375495,"METRO (L5) - BADAL (C. Carreras i Candi)-","Sants-Montjuïc","Sants - Badal"
"K001","Underground",2.159106,41.394536,"METRO (L5) - DIAGONAL (C. del Rosselló)-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.034689,41.357711,"FGC (L8) - MOLÍ NOU-CIUTAT COOPERATIVA-","",""
"K001","Underground",2.163409,41.37899,"METRO (L2) - SANT ANTONI (Rda. Sant Antoni)-","Ciutat Vella","el Raval"
"K001","Underground",2.173372,41.389401,"METRO (L1) - URQUINAONA (Pl. d'Urquinaona)-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.143265,41.403133,"FGC (L7) - PADUA-","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K001","Underground",2.174591,41.394624,"METRO (L2) - TETUAN-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.206689,41.423827,"METRO (L2) - LA PAU-","Sant Martí","la Verneda i la Pau"
"K001","Underground",2.043259,41.348145,"FGC (L8) - SANT BOI-","",""
"K001","Underground",2.139248,41.405731,"FGC (L7) - EL PUTXET-","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K002","Railway (FGC)",2.135502,41.397638,"FGC - BONANOVA-","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K011","Tram",2.192089,41.387575,"TRAMVIA (T4) - CIUTADELLA-VILA OLÍMPICA-","Sant Martí","la Vila Olímpica del Poblenou"
"K011","Tram",2.058263,41.363968,"TRAMVIA (T1,T2) - BON VIATGE-","",""
"K011","Tram",2.062535,41.36756,"TRAMVIA (T2) - LA FONTSANTA-","",""
"K011","Tram",2.134102,41.41411,"TRAMVIA BLAU - AV. TIBIDABO (Rda. de Dalt-Bosch i Alsina)-","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova"
"K001","Underground",2.137301,41.37557,"METRO (L1) - PLAÇA DE SANTS (C. de Sants)-","Sants-Montjuïc","Sants"
"K001","Underground",2.117531,41.35536,"FGC (L8) - GORNAL-","",""
"K001","Underground",2.19105,41.436433,"METRO (L1) - SANT ANDREU (Pl. d'Orfila)-","Sant Andreu","Sant Andreu"
"K001","Underground",2.187202,41.410828,"METRO (L1) - CLOT (C. de València)-","Sant Martí","el Clot"
"K001","Underground",2.100569,41.363695,"METRO (L1) - RAMBLA JUST OLIVERAS-","",""
"K002","Railway (FGC)",2.151636,41.399679,"FGC - GRÀCIA (C. de Marià Cubí)-","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K008","Maritime station",2.173815,41.364315,"Estació Marítima Grimaldi Lines","Sants-Montjuïc","la Marina del Prat Vermell"
"K003","RENFE",2.147997,41.492347,"RENFE - CERDANYOLA DEL VALLÈS-","",""
"K002","Railway (FGC)",2.124523,41.39935,"FGC - SARRIÀ-","Sarrià-Sant Gervasi","Sarrià"
"K002","Railway (FGC)",2.130463,41.361391,"FGC - ILDEFONS CERDÀ-","",""
"K001","Underground",2.15988,41.375147,"METRO (L3) - POBLE SEC-","Eixample","Sant Antoni"
"K011","Tram",2.22531,41.427474,"TRAMVIA (T5) - SANT JOAN BAPTISTA-","",""
"K001","Underground",2.217105,41.414575,"METRO (L4) - BESÒS MAR (C. d'Alfons el Magnànim)-","Sant Martí","el Besòs i el Maresme"
"K002","Railway (FGC)",2.125789,41.398544,"FGC - SARRIÀ-","Sarrià-Sant Gervasi","les Tres Torres"
"K001","Underground",2.169507,41.387625,"METRO (L1) - CATALUNYA-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.171017,41.462556,"METRO (L11) - CAN CUIÀS (C. Circumval·lació - Montcada)-","",""
"K001","Underground",2.164871,41.392581,"METRO (L3) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.157649,41.393362,"FGC (L6,L7) - PROVENÇA (C. del Rossellò)-","Eixample","la Dreta de l'Eixample"
"K001","Underground",2.137173,41.410227,"FGC (L7) - AVINGUDA DEL TIBIDABO-","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova"
