"Order","Name","Gender","Year","Frequency"
14,"MIREIA","Female",1998,98
15,"CRISTINA","Female",1998,96
16,"CLARA","Female",1998,95
17,"IRENE","Female",1998,82
18,"NURIA","Female",1998,77
19,"ANA","Female",1998,71
20,"BERTA","Female",1998,68
21,"ARIADNA","Female",1998,63
22,"JUDIT","Female",1998,63
23,"SANDRA","Female",1998,57
24,"AINA","Female",1998,54
25,"MAR","Female",1998,50
1,"MARIA","Female",1999,299
2,"LAURA","Female",1999,209
3,"PAULA","Female",1999,207
4,"ANDREA","Female",1999,187
5,"MARTA","Female",1999,182
6,"ANNA","Female",1999,141
7,"LAIA","Female",1999,132
8,"CARLA","Female",1999,128
9,"JULIA","Female",1999,120
10,"MARINA","Female",1999,116
11,"ALBA","Female",1999,113
12,"SARA","Female",1999,106
13,"CLAUDIA","Female",1999,97
14,"CRISTINA","Female",1999,93
15,"ARIADNA","Female",1999,92
16,"MIREIA","Female",1999,91
17,"NURIA","Female",1999,84
18,"BERTA","Female",1999,78
19,"ANA","Female",1999,69
20,"CLARA","Female",1999,69
21,"IRENE","Female",1999,68
22,"MAR","Female",1999,68
23,"AINA","Female",1999,65
24,"SANDRA","Female",1999,64
25,"HELENA","Female",1999,62
1,"MARIA","Female",2000,268
2,"LAURA","Female",2000,222
3,"PAULA","Female",2000,221
4,"ANNA","Female",2000,180
5,"ANDREA","Female",2000,162
6,"MARTA","Female",2000,157
7,"JULIA","Female",2000,144
8,"ALBA","Female",2000,137
9,"CARLA","Female",2000,137
10,"LAIA","Female",2000,132
11,"SARA","Female",2000,118
12,"CLAUDIA","Female",2000,117
13,"MARINA","Female",2000,116
14,"MIREIA","Female",2000,111
15,"CRISTINA","Female",2000,86
16,"BERTA","Female",2000,84
17,"CLARA","Female",2000,82
18,"ARIADNA","Female",2000,78
19,"ANA","Female",2000,72
20,"NATALIA","Female",2000,63
21,"NURIA","Female",2000,62
22,"HELENA","Female",2000,61
23,"IRENE","Female",2000,55
24,"CARLOTA","Female",2000,54
25,"EMMA","Female",2000,54
1,"MARIA","Female",2001,243
2,"PAULA","Female",2001,187
3,"LAURA","Female",2001,175
4,"MARTA","Female",2001,157
5,"CARLA","Female",2001,153
6,"ANNA","Female",2001,152
7,"LAIA","Female",2001,143
8,"JULIA","Female",2001,138
9,"ALBA","Female",2001,131
10,"ANDREA","Female",2001,129
11,"CLAUDIA","Female",2001,120
12,"SARA","Female",2001,114
13,"MIREIA","Female",2001,104
14,"MARINA","Female",2001,98
15,"ANA","Female",2001,83
16,"CRISTINA","Female",2001,78
17,"BERTA","Female",2001,76
18,"CLARA","Female",2001,72
19,"NURIA","Female",2001,71
20,"ARIADNA","Female",2001,67
21,"AINA","Female",2001,65
22,"JUDITH","Female",2001,61
23,"IRENE","Female",2001,57
24,"CARLOTA","Female",2001,54
25,"NEREA","Female",2001,53
1,"MARIA","Female",2002,243
2,"PAULA","Female",2002,197
3,"MARTA","Female",2002,162
4,"LAURA","Female",2002,161
5,"ALBA","Female",2002,147
6,"CARLA","Female",2002,142
7,"LAIA","Female",2002,137
8,"JULIA","Female",2002,134
9,"ANNA","Female",2002,132
10,"CLAUDIA","Female",2002,124
11,"ANDREA","Female",2002,117
12,"SARA","Female",2002,105
13,"LUCIA","Female",2002,100
14,"MARINA","Female",2002,98
15,"MIREIA","Female",2002,96
16,"ARIADNA","Female",2002,92
17,"CLARA","Female",2002,81
18,"AINA","Female",2002,80
19,"NURIA","Female",2002,71
20,"CARLOTA","Female",2002,70
21,"MARTINA","Female",2002,65
22,"BERTA","Female",2002,63
23,"MAR","Female",2002,63
24,"CRISTINA","Female",2002,62
25,"NEREA","Female",2002,62
1,"MARIA","Female",2003,196
2,"PAULA","Female",2003,192
3,"CARLA","Female",2003,165
4,"LAIA","Female",2003,158
5,"LAURA","Female",2003,148
6,"ALBA","Female",2003,135
7,"ANNA","Female",2003,135
8,"MARTA","Female",2003,131
9,"JULIA","Female",2003,128
10,"ANDREA","Female",2003,126
11,"CLAUDIA","Female",2003,121
12,"LUCIA","Female",2003,119
13,"SARA","Female",2003,107
14,"ARIADNA","Female",2003,96
15,"MARINA","Female",2003,84
16,"CRISTINA","Female",2003,75
17,"BERTA","Female",2003,72
18,"CLARA","Female",2003,71
19,"MIREIA","Female",2003,71
20,"MARTINA","Female",2003,67
21,"NURIA","Female",2003,66
22,"MAR","Female",2003,65
23,"AINHOA","Female",2003,64
24,"NEREA","Female",2003,60
25,"ANA","Female",2003,59
1,"MARIA","Female",2004,200
2,"PAULA","Female",2004,190
3,"LAIA","Female",2004,184
4,"JULIA","Female",2004,171
5,"LUCIA","Female",2004,171
6,"CARLA","Female",2004,164
7,"LAURA","Female",2004,146
8,"CLAUDIA","Female",2004,127
9,"ALBA","Female",2004,122
10,"ANNA","Female",2004,111
11,"MARTA","Female",2004,110
12,"ANDREA","Female",2004,106
13,"MARTINA","Female",2004,105
14,"SARA","Female",2004,84
15,"MARINA","Female",2004,81
16,"ARIADNA","Female",2004,77
17,"BERTA","Female",2004,76
18,"AINA","Female",2004,73
19,"MIREIA","Female",2004,68
20,"NEREA","Female",2004,62
21,"CLARA","Female",2004,61
22,"CRISTINA","Female",2004,58
23,"NURIA","Female",2004,56
24,"JUDITH","Female",2004,55
25,"MAR","Female",2004,55
1,"LAIA","Female",2005,200
2,"MARIA","Female",2005,183
3,"JULIA","Female",2005,182
4,"CARLA","Female",2005,171
5,"LUCIA","Female",2005,165
6,"PAULA","Female",2005,157
7,"MARTINA","Female",2005,144
8,"LAURA","Female",2005,124
9,"MARTA","Female",2005,122
10,"ALBA","Female",2005,117
11,"CLAUDIA","Female",2005,112
12,"ARIADNA","Female",2005,99
13,"SOFIA","Female",2005,90
14,"ANNA","Female",2005,87
15,"BERTA","Female",2005,77
16,"SARA","Female",2005,77
17,"MARINA","Female",2005,76
18,"AINA","Female",2005,73
19,"CLARA","Female",2005,69
20,"ANDREA","Female",2005,68
21,"NOA","Female",2005,66
22,"MIREIA","Female",2005,60
23,"MAR","Female",2005,59
24,"NATALIA","Female",2005,59
25,"EMMA","Female",2005,57
1,"MARIA","Female",2006,196
2,"LAIA","Female",2006,180
3,"LUCIA","Female",2006,170
4,"JULIA","Female",2006,160
5,"CARLA","Female",2006,145
6,"MARTINA","Female",2006,129
7,"CLAUDIA","Female",2006,126
8,"PAULA","Female",2006,122
9,"LAURA","Female",2006,111
10,"ALBA","Female",2006,101
11,"SARA","Female",2006,97
12,"MARTA","Female",2006,89
13,"ANNA","Female",2006,86
14,"AINA","Female",2006,82
15,"ARIADNA","Female",2006,76
16,"BERTA","Female",2006,68
17,"ANDREA","Female",2006,66
18,"CLARA","Female",2006,66
19,"IRENE","Female",2006,65
20,"MARINA","Female",2006,61
21,"EMMA","Female",2006,58
22,"SOFIA","Female",2006,58
23,"JANA","Female",2006,56
24,"MIREIA","Female",2006,56
25,"CARLOTA","Female",2006,55
1,"LUCIA","Female",2007,159
2,"MARIA","Female",2007,155
3,"MARTINA","Female",2007,152
4,"LAIA","Female",2007,138
5,"JULIA","Female",2007,130
6,"CARLA","Female",2007,125
7,"PAULA","Female",2007,124
8,"CLAUDIA","Female",2007,114
9,"SARA","Female",2007,100
10,"JANA","Female",2007,93
11,"AINA","Female",2007,90
12,"ARIADNA","Female",2007,88
13,"ALBA","Female",2007,87
14,"SOFIA","Female",2007,87
15,"LAURA","Female",2007,84
16,"BERTA","Female",2007,80
17,"MAR","Female",2007,76
18,"IRENE","Female",2007,75
19,"NOA","Female",2007,73
20,"MARTA","Female",2007,72
21,"ANNA","Female",2007,63
22,"ANDREA","Female",2007,60
23,"EMMA","Female",2007,60
24,"MARINA","Female",2007,57
25,"CARLOTA","Female",2007,56
1,"MARTINA","Female",2008,169
2,"JULIA","Female",2008,162
3,"MARIA","Female",2008,158
4,"LAIA","Female",2008,156
5,"LUCIA","Female",2008,146
6,"CARLA","Female",2008,139
7,"PAULA","Female",2008,136
8,"CLAUDIA","Female",2008,113
9,"SARA","Female",2008,102
10,"JANA","Female",2008,92
11,"ARIADNA","Female",2008,84
12,"ANNA","Female",2008,82
13,"LAURA","Female",2008,82
14,"SOFIA","Female",2008,81
15,"NOA","Female",2008,78
16,"AINA","Female",2008,77
17,"ALBA","Female",2008,75
18,"BERTA","Female",2008,73
19,"EMMA","Female",2008,73
20,"MARTA","Female",2008,69
21,"IRENE","Female",2008,66
22,"CLARA","Female",2008,63
23,"ABRIL","Female",2008,61
24,"MARINA","Female",2008,60
25,"CARLOTA","Female",2008,56
1,"MARTINA","Female",2009,167
2,"LAIA","Female",2009,159
3,"MARIA","Female",2009,154
4,"PAULA","Female",2009,143
5,"LUCIA","Female",2009,138
6,"JULIA","Female",2009,128
7,"CARLA","Female",2009,118
8,"CLAUDIA","Female",2009,112
9,"AINA","Female",2009,88
10,"SOFIA","Female",2009,87
11,"LAURA","Female",2009,78
12,"SARA","Female",2009,77
13,"ALBA","Female",2009,76
14,"ANNA","Female",2009,76
15,"NOA","Female",2009,74
16,"JANA","Female",2009,71
17,"ARIADNA","Female",2009,70
18,"DANIELA","Female",2009,66
19,"BERTA","Female",2009,65
20,"EMMA","Female",2009,59
21,"IRENE","Female",2009,56
22,"ABRIL","Female",2009,55
23,"MARTA","Female",2009,53
24,"CARLOTA","Female",2009,51
25,"MARINA","Female",2009,50
1,"MARTINA","Female",2010,194
2,"JULIA","Female",2010,173
3,"MARIA","Female",2010,147
4,"LUCIA","Female",2010,139
5,"PAULA","Female",2010,135
6,"LAIA","Female",2010,128
7,"CARLA","Female",2010,120
8,"AINA","Female",2010,109
9,"SARA","Female",2010,102
10,"CLAUDIA","Female",2010,101
11,"SOFIA","Female",2010,95
12,"NOA","Female",2010,83
13,"ARIADNA","Female",2010,76
14,"ALBA","Female",2010,69
15,"LAURA","Female",2010,66
16,"EMMA","Female",2010,63
17,"CLARA","Female",2010,60
18,"ANNA","Female",2010,58
19,"DANIELA","Female",2010,58
20,"ABRIL","Female",2010,57
21,"INES","Female",2010,57
22,"BERTA","Female",2010,56
23,"JANA","Female",2010,53
24,"CARLOTA","Female",2010,49
25,"IRENE","Female",2010,47
1,"MARTINA","Female",2011,157
2,"JULIA","Female",2011,154
3,"LAIA","Female",2011,146
4,"MARIA","Female",2011,124
5,"LUCIA","Female",2011,123
6,"PAULA","Female",2011,113
7,"SOFIA","Female",2011,109
8,"CARLA","Female",2011,105
9,"NOA","Female",2011,104
10,"CLAUDIA","Female",2011,95
11,"SARA","Female",2011,95
12,"AINA","Female",2011,94
13,"ARIADNA","Female",2011,81
14,"EMMA","Female",2011,81
15,"ALBA","Female",2011,78
16,"ONA","Female",2011,74
17,"DANIELA","Female",2011,69
18,"CLARA","Female",2011,65
19,"IRENE","Female",2011,60
20,"NORA","Female",2011,58
21,"MARTA","Female",2011,55
22,"OLIVIA","Female",2011,55
23,"JANA","Female",2011,52
24,"BERTA","Female",2011,51
25,"ANNA","Female",2011,50
1,"JULIA","Female",2012,158
2,"LAIA","Female",2012,156
3,"MARTINA","Female",2012,152
4,"CARLA","Female",2012,122
5,"MARIA","Female",2012,121
6,"LUCIA","Female",2012,119
7,"SOFIA","Female",2012,100
8,"PAULA","Female",2012,96
9,"AINA","Female",2012,94
10,"EMMA","Female",2012,93
11,"CLAUDIA","Female",2012,84
12,"VALENTINA","Female",2012,83
13,"ARIADNA","Female",2012,78
14,"SARA","Female",2012,78
15,"NOA","Female",2012,71
16,"ALBA","Female",2012,70
17,"ONA","Female",2012,68
18,"JANA","Female",2012,67
19,"LAURA","Female",2012,65
20,"CARLOTA","Female",2012,59
21,"ANNA","Female",2012,58
22,"OLIVIA","Female",2012,57
23,"BERTA","Female",2012,56
24,"ABRIL","Female",2012,54
25,"MAR","Female",2012,53
1,"JULIA","Female",2013,143
2,"MARTINA","Female",2013,137
3,"LAIA","Female",2013,131
4,"MARIA","Female",2013,117
5,"LUCIA","Female",2013,116
6,"PAULA","Female",2013,111
7,"EMMA","Female",2013,105
8,"SOFIA","Female",2013,102
9,"NOA","Female",2013,88
10,"AINA","Female",2013,87
11,"CARLA","Female",2013,81
12,"CLAUDIA","Female",2013,81
13,"VALENTINA","Female",2013,78
14,"ARIADNA","Female",2013,71
15,"ALBA","Female",2013,69
16,"JANA","Female",2013,65
17,"SARA","Female",2013,59
18,"BERTA","Female",2013,55
19,"OLIVIA","Female",2013,55
20,"ONA","Female",2013,55
21,"ABRIL","Female",2013,51
22,"ARLET","Female",2013,51
23,"NORA","Female",2013,50
24,"AINHOA","Female",2013,49
25,"DANIELA","Female",2013,48
1,"LAIA","Female",2014,153
2,"MARTINA","Female",2014,134
3,"JULIA","Female",2014,120
4,"EMMA","Female",2014,117
5,"NOA","Female",2014,107
6,"SOFIA","Female",2014,106
7,"MARIA","Female",2014,105
8,"VALENTINA","Female",2014,99
9,"CARLA","Female",2014,91
10,"LUCIA","Female",2014,89
11,"ONA","Female",2014,84
12,"PAULA","Female",2014,84
13,"CLAUDIA","Female",2014,83
14,"OLIVIA","Female",2014,72
15,"AINA","Female",2014,71
16,"DANIELA","Female",2014,68
17,"ALBA","Female",2014,67
18,"CLARA","Female",2014,60
19,"JANA","Female",2014,58
20,"NORA","Female",2014,58
21,"SARA","Female",2014,57
22,"ARLET","Female",2014,55
23,"BERTA","Female",2014,51
24,"ANNA","Female",2014,49
25,"CARLOTA","Female",2014,48
1,"EMMA","Female",2015,145
2,"JULIA","Female",2015,123
3,"LUCIA","Female",2015,120
4,"MARTINA","Female",2015,116
5,"MARIA","Female",2015,106
6,"SOFIA","Female",2015,104
7,"LAIA","Female",2015,103
8,"NOA","Female",2015,98
9,"AINA","Female",2015,92
10,"PAULA","Female",2015,91
11,"CARLA","Female",2015,85
12,"VALENTINA","Female",2015,84
13,"CLAUDIA","Female",2015,77
14,"ONA","Female",2015,77
15,"ALBA","Female",2015,73
16,"OLIVIA","Female",2015,71
17,"SARA","Female",2015,65
18,"ABRIL","Female",2015,62
19,"CLARA","Female",2015,59
20,"MIA","Female",2015,57
21,"JANA","Female",2015,55
22,"INES","Female",2015,52
23,"ARLET","Female",2015,50
24,"CARLOTA","Female",2015,50
25,"ARIADNA","Female",2015,45
1,"JULIA","Female",2016,137
2,"LAIA","Female",2016,129
3,"LUCIA","Female",2016,122
4,"SOFIA","Female",2016,122
5,"EMMA","Female",2016,119
6,"MARIA","Female",2016,103
7,"MARTINA","Female",2016,103
8,"NOA","Female",2016,102
9,"PAULA","Female",2016,94
10,"CARLA","Female",2016,81
11,"ONA","Female",2016,79
12,"AINA","Female",2016,74
13,"CLAUDIA","Female",2016,68
14,"VALENTINA","Female",2016,68
15,"MIA","Female",2016,65
16,"OLIVIA","Female",2016,65
17,"ALBA","Female",2016,63
18,"CLARA","Female",2016,63
19,"CHLOE","Female",2016,62
20,"ABRIL","Female",2016,60
21,"SARA","Female",2016,57
22,"ARIADNA","Female",2016,55
23,"DANIELA","Female",2016,55
24,"VALERIA","Female",2016,55
25,"ARLET","Female",2016,54
1,"MARC","Male",1996,295
2,"DAVID","Male",1996,198
3,"DANIEL","Male",1996,174
4,"ALBERT","Male",1996,151
5,"VICTOR","Male",1996,145
6,"JORDI","Male",1996,143
7,"SERGI","Male",1996,137
8,"ALEJANDRO","Male",1996,132
9,"POL","Male",1996,123
10,"ALEX","Male",1996,113
11,"PAU","Male",1996,103
12,"GUILLEM","Male",1996,100
13,"CARLOS","Male",1996,97
14,"ORIOL","Male",1996,97
15,"ADRIA","Male",1996,92
16,"ROGER","Male",1996,91
17,"OSCAR","Male",1996,90
18,"JAVIER","Male",1996,88
19,"GERARD","Male",1996,85
20,"ARNAU","Male",1996,84
21,"IVAN","Male",1996,80
22,"XAVIER","Male",1996,79
23,"JOAN","Male",1996,76
24,"ERIC","Male",1996,75
25,"PABLO","Male",1996,74
1,"MARC","Male",1997,348
2,"DAVID","Male",1997,183
3,"DANIEL","Male",1997,163
4,"VICTOR","Male",1997,150
5,"ALEX","Male",1997,148
6,"POL","Male",1997,143
7,"ALEJANDRO","Male",1997,128
8,"ALBERT","Male",1997,126
9,"PAU","Male",1997,125
10,"SERGI","Male",1997,120
11,"ORIOL","Male",1997,115
12,"JORDI","Male",1997,112
13,"GERARD","Male",1997,104
14,"JOAN","Male",1997,103
15,"ARNAU","Male",1997,101
16,"GUILLEM","Male",1997,100
17,"ADRIA","Male",1997,98
18,"ROGER","Male",1997,98
19,"OSCAR","Male",1997,92
20,"JAVIER","Male",1997,85
21,"XAVIER","Male",1997,84
22,"IVAN","Male",1997,81
23,"ERIC","Male",1997,80
24,"CARLOS","Male",1997,76
25,"ADRIAN","Male",1997,72
1,"MARC","Male",1998,330
2,"DAVID","Male",1998,184
3,"ALEX","Male",1998,174
4,"DANIEL","Male",1998,159
5,"POL","Male",1998,144
6,"VICTOR","Male",1998,139
7,"ALBERT","Male",1998,135
8,"SERGI","Male",1998,130
9,"PAU","Male",1998,122
10,"ALEJANDRO","Male",1998,117
11,"ARNAU","Male",1998,109
12,"GUILLEM","Male",1998,104
13,"JORDI","Male",1998,104
14,"ORIOL","Male",1998,100
15,"CARLOS","Male",1998,94
16,"JAVIER","Male",1998,92
17,"OSCAR","Male",1998,92
18,"JOAN","Male",1998,91
19,"ROGER","Male",1998,84
20,"ADRIA","Male",1998,81
21,"ERIC","Male",1998,80
22,"GERARD","Male",1998,80
23,"IVAN","Male",1998,78
24,"PABLO","Male",1998,64
25,"SERGIO","Male",1998,64
1,"MARC","Male",1999,291
2,"ALEX","Male",1999,169
3,"DANIEL","Male",1999,166
4,"DAVID","Male",1999,159
5,"VICTOR","Male",1999,157
6,"POL","Male",1999,155
7,"PAU","Male",1999,133
8,"ALBERT","Male",1999,122
9,"ALEJANDRO","Male",1999,118
10,"JORDI","Male",1999,115
11,"ARNAU","Male",1999,112
12,"GUILLEM","Male",1999,110
13,"SERGI","Male",1999,107
14,"ORIOL","Male",1999,101
15,"JOAN","Male",1999,97
16,"GERARD","Male",1999,93
17,"OSCAR","Male",1999,91
18,"ROGER","Male",1999,91
19,"CARLOS","Male",1999,88
20,"ADRIA","Male",1999,82
21,"ERIC","Male",1999,80
22,"PABLO","Male",1999,75
23,"JOEL","Male",1999,70
24,"JAVIER","Male",1999,65
25,"XAVIER","Male",1999,65
1,"MARC","Male",2000,290
2,"ALEX","Male",2000,201
3,"POL","Male",2000,189
4,"DAVID","Male",2000,187
5,"DANIEL","Male",2000,176
6,"VICTOR","Male",2000,150
7,"PAU","Male",2000,134
8,"ALBERT","Male",2000,125
9,"ARNAU","Male",2000,120
10,"ALEJANDRO","Male",2000,117
11,"SERGI","Male",2000,111
12,"JOAN","Male",2000,107
13,"JORDI","Male",2000,105
14,"CARLOS","Male",2000,102
15,"ORIOL","Male",2000,102
16,"GUILLEM","Male",2000,91
17,"GERARD","Male",2000,84
18,"ERIC","Male",2000,83
19,"XAVIER","Male",2000,82
20,"JAVIER","Male",2000,80
21,"JOEL","Male",2000,80
22,"ROGER","Male",2000,80
23,"ADRIA","Male",2000,74
24,"OSCAR","Male",2000,74
25,"PABLO","Male",2000,71
1,"MARC","Male",2001,234
2,"ALEX","Male",2001,164
3,"POL","Male",2001,159
4,"DAVID","Male",2001,154
5,"PAU","Male",2001,151
6,"DANIEL","Male",2001,143
7,"ALEJANDRO","Male",2001,132
8,"VICTOR","Male",2001,126
9,"GERARD","Male",2001,125
10,"ARNAU","Male",2001,108
11,"JOAN","Male",2001,108
12,"ALBERT","Male",2001,105
13,"JORDI","Male",2001,99
14,"SERGI","Male",2001,96
15,"IVAN","Male",2001,91
16,"ADRIA","Male",2001,85
17,"PABLO","Male",2001,85
18,"GUILLEM","Male",2001,83
19,"CARLOS","Male",2001,80
20,"ORIOL","Male",2001,80
21,"ERIC","Male",2001,71
22,"JOEL","Male",2001,70
23,"XAVIER","Male",2001,70
24,"JAVIER","Male",2001,67
25,"MARTI","Male",2001,64
1,"MARC","Male",2002,267
2,"POL","Male",2002,175
3,"DAVID","Male",2002,150
4,"PAU","Male",2002,149
5,"ALEX","Male",2002,148
6,"DANIEL","Male",2002,128
7,"ALEJANDRO","Male",2002,124
8,"VICTOR","Male",2002,120
9,"ARNAU","Male",2002,115
10,"GERARD","Male",2002,106
11,"PABLO","Male",2002,103
12,"JOAN","Male",2002,97
13,"ALBERT","Male",2002,88
14,"JOEL","Male",2002,86
15,"ERIC","Male",2002,84
16,"JORDI","Male",2002,78
17,"ORIOL","Male",2002,77
18,"GUILLEM","Male",2002,74
19,"ADRIA","Male",2002,73
20,"SERGI","Male",2002,72
21,"CARLOS","Male",2002,65
22,"OSCAR","Male",2002,65
23,"RAUL","Male",2002,65
24,"IVAN","Male",2002,62
25,"XAVIER","Male",2002,61
1,"MARC","Male",2003,287
2,"ALEX","Male",2003,205
3,"PAU","Male",2003,202
4,"POL","Male",2003,184
5,"DAVID","Male",2003,173
6,"DANIEL","Male",2003,156
7,"JOAN","Male",2003,119
8,"ARNAU","Male",2003,109
9,"VICTOR","Male",2003,107
10,"ALEJANDRO","Male",2003,105
11,"PABLO","Male",2003,104
12,"GERARD","Male",2003,94
13,"JORDI","Male",2003,93
14,"ORIOL","Male",2003,90
15,"ERIC","Male",2003,89
16,"JAN","Male",2003,87
17,"SERGI","Male",2003,82
18,"ADRIA","Male",2003,79
19,"ALBERT","Male",2003,79
20,"MARTI","Male",2003,79
21,"GUILLEM","Male",2003,72
22,"JOEL","Male",2003,72
23,"ADRIAN","Male",2003,68
24,"ALVARO","Male",2003,68
25,"CARLOS","Male",2003,63
1,"MARC","Male",2004,259
2,"ALEX","Male",2004,185
3,"POL","Male",2004,181
4,"PAU","Male",2004,173
5,"DAVID","Male",2004,129
6,"DANIEL","Male",2004,128
7,"ARNAU","Male",2004,125
8,"VICTOR","Male",2004,116
9,"ALEJANDRO","Male",2004,107
10,"PABLO","Male",2004,107
11,"JOAN","Male",2004,98
12,"ADRIA","Male",2004,93
13,"JOEL","Male",2004,93
14,"GERARD","Male",2004,90
15,"ERIC","Male",2004,88
16,"JAN","Male",2004,88
17,"MARTI","Male",2004,88
18,"GUILLEM","Male",2004,82
19,"ORIOL","Male",2004,81
20,"JORDI","Male",2004,80
21,"SERGI","Male",2004,79
22,"IVAN","Male",2004,75
23,"ALBERT","Male",2004,73
24,"OSCAR","Male",2004,61
25,"XAVIER","Male",2004,61
1,"MARC","Male",2005,277
2,"PAU","Male",2005,187
3,"POL","Male",2005,176
4,"ALEX","Male",2005,167
5,"DAVID","Male",2005,157
6,"DANIEL","Male",2005,151
7,"JAN","Male",2005,122
8,"ARNAU","Male",2005,115
9,"MARTI","Male",2005,111
10,"PABLO","Male",2005,106
11,"VICTOR","Male",2005,103
12,"ALEJANDRO","Male",2005,102
13,"ADRIA","Male",2005,100
14,"ERIC","Male",2005,90
15,"ORIOL","Male",2005,89
16,"GERARD","Male",2005,87
17,"JOAN","Male",2005,82
18,"JORDI","Male",2005,78
19,"GUILLEM","Male",2005,77
20,"IVAN","Male",2005,68
21,"SERGI","Male",2005,67
22,"ALBERT","Male",2005,66
23,"JOEL","Male",2005,66
24,"XAVIER","Male",2005,63
25,"ROGER","Male",2005,62
1,"MARC","Male",2006,229
2,"POL","Male",2006,173
3,"ALEX","Male",2006,168
4,"PAU","Male",2006,163
5,"DANIEL","Male",2006,141
6,"ARNAU","Male",2006,117
7,"DAVID","Male",2006,116
8,"VICTOR","Male",2006,111
9,"MARTI","Male",2006,98
10,"ALEJANDRO","Male",2006,95
11,"ADRIA","Male",2006,92
12,"JOAN","Male",2006,91
13,"ERIC","Male",2006,88
14,"ORIOL","Male",2006,88
15,"JAN","Male",2006,84
16,"JOEL","Male",2006,83
17,"GUILLEM","Male",2006,79
18,"PABLO","Male",2006,76
19,"GERARD","Male",2006,72
20,"ROGER","Male",2006,71
21,"HUGO","Male",2006,70
22,"IKER","Male",2006,63
23,"ALBERT","Male",2006,61
24,"BIEL","Male",2006,59
25,"ALVARO","Male",2006,58
1,"MARC","Male",2007,237
2,"ALEX","Male",2007,163
3,"PAU","Male",2007,148
4,"POL","Male",2007,140
5,"DANIEL","Male",2007,132
6,"DAVID","Male",2007,127
7,"ERIC","Male",2007,126
8,"MARTI","Male",2007,126
9,"ARNAU","Male",2007,115
10,"VICTOR","Male",2007,98
11,"ALEJANDRO","Male",2007,94
12,"JOAN","Male",2007,89
13,"PABLO","Male",2007,89
14,"JAN","Male",2007,88
15,"ORIOL","Male",2007,84
16,"GERARD","Male",2007,76
17,"BIEL","Male",2007,75
18,"GUILLEM","Male",2007,71
19,"JOEL","Male",2007,70
20,"ROGER","Male",2007,68
21,"HUGO","Male",2007,67
22,"ADRIA","Male",2007,60
23,"NICOLAS","Male",2007,58
24,"IKER","Male",2007,54
25,"JORDI","Male",2007,54
1,"MARC","Male",2008,244
2,"POL","Male",2008,172
3,"ALEX","Male",2008,156
4,"PAU","Male",2008,144
5,"DANIEL","Male",2008,121
6,"DAVID","Male",2008,109
7,"JAN","Male",2008,106
8,"ERIC","Male",2008,100
9,"ARNAU","Male",2008,98
10,"MARTI","Male",2008,98
11,"BIEL","Male",2008,92
12,"VICTOR","Male",2008,88
13,"ALEJANDRO","Male",2008,87
14,"PABLO","Male",2008,86
15,"ORIOL","Male",2008,84
16,"BRUNO","Male",2008,80
17,"HUGO","Male",2008,80
18,"JOAN","Male",2008,80
19,"IKER","Male",2008,77
20,"LUCAS","Male",2008,73
21,"NICOLAS","Male",2008,73
22,"ADRIA","Male",2008,72
23,"GUILLEM","Male",2008,71
24,"JORDI","Male",2008,71
25,"ROGER","Male",2008,70
1,"MARC","Male",2009,194
2,"PAU","Male",2009,165
3,"ALEX","Male",2009,150
