"Code","Transport","Longitude","Latitude","Bus.Stop","District.Name","Neighborhood.Name"
"K014","Day bus stop",2.130148,41.39033,"BUS -L14--","Les Corts","les Corts"
"K014","Day bus stop",2.171317,41.362381,"BUS -88--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.140981,41.33326,"BUS -88--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.148483,41.345573,"BUS -88--","Sants-Montjuïc","la Marina del Prat Vermell"
"K015","Night bus stop",2.203954,41.411347,"NITBUS -N11--","Sant Martí","Provençals del Poblenou"
"K015","Night bus stop",2.144551,41.384248,"NITBUS -N0--","Eixample","la Nova Esquerra de l'Eixample"
"K014","Day bus stop",2.172668,41.363941,"BUS -88--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.192252,41.379159,"BUS -BCTE--","Ciutat Vella","la Barceloneta"
"K014","Day bus stop",2.135965,41.404529,"BUS -V13--","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova"
"K014","Day bus stop",2.196125,41.440382,"BUS -M28--","Sant Andreu","el Bon Pastor"
"K015","Night bus stop",2.171015,41.38741,"NITBUS -N2-N3--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.172916,41.36447,"BUS -88--","Sants-Montjuïc","la Marina del Prat Vermell"
"K015","Night bus stop",2.196366,41.388408,"NITBUS -N8-N28--","Sant Martí","la Vila Olímpica del Poblenou"
"K014","Day bus stop",2.178172,41.376319,"BUS -BCTO--","Ciutat Vella","el Barri Gòtic"
"K014","Day bus stop",2.146875,41.411935,"BUS -87--","Gràcia","Vallcarca i els Penitents"
"K014","Day bus stop",2.205782,41.427311,"BUS -60-B21--","Sant Martí","la Verneda i la Pau"
"K014","Day bus stop",2.190413,41.406299,"BUS -H12--","Sant Martí","el Clot"
"K015","Night bus stop",2.206096,41.413851,"NITBUS -N11--","Sant Martí","Provençals del Poblenou"
"K014","Day bus stop",2.128161,41.371299,"BUS -LH2--","Sants-Montjuïc","Sants - Badal"
"K014","Day bus stop",2.193603,41.446437,"BUS -60-B19--","Sant Andreu","Sant Andreu"
"K014","Day bus stop",2.154937,41.395474,"BUS -6-7-33-34-H8--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K014","Day bus stop",2.14183,41.396037,"BUS -68-V11--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K014","Day bus stop",2.170621,41.407529,"BUS -V21--","Eixample","la Sagrada Família"
"K015","Night bus stop",2.144973,41.371789,"NITBUS -N1-N13-N15-N16-N17-N18--","Sants-Montjuïc","la Font de la Guatlla"
"K015","Night bus stop",2.184461,41.381196,"NITBUS -N8-N28--","Ciutat Vella","la Barceloneta"
"K014","Day bus stop",2.183494,41.377029,"BUS -V17--","Ciutat Vella","el Barri Gòtic"
"K014","Day bus stop",2.156899,41.388499,"BUS -54-V13--","Eixample","l'Antiga Esquerra de l'Eixample"
"K015","Night bus stop",2.163218,41.393364,"NITBUS -N4-N6--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.126976,41.387476,"BUS -70-75-V3-V5--","Les Corts","la Maternitat i Sant Ramon"
"K014","Day bus stop",2.153555,41.408871,"BUS -24-116-H6-D40--","Gràcia","la Vila de Gràcia"
"K015","Night bus stop",2.147535,41.375134,"NITBUS -N14-N2-N28--","Sants-Montjuïc","Hostafrancs"
"K015","Night bus stop",2.111052,41.384729,"NITBUS -N12--","Les Corts","Pedralbes"
"K015","Night bus stop",2.169279,41.388939,"NITBUS -N4-N5-N6-N7--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.193717,41.410104,"BUS -192--","Sant Martí","el Clot"
"K014","Day bus stop",2.207257,41.420035,"BUS -V31-136--","Sant Martí","la Verneda i la Pau"
"K014","Day bus stop",2.167663,41.389798,"BUS -22-24--","Eixample","la Dreta de l'Eixample"
"K015","Night bus stop",2.167663,41.389798,"NITBUS -N4-N6--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.169195,41.439115,"BUS -47-76-B19-82-H4--","Nou Barris","la Guineueta"
"K015","Night bus stop",2.17016,41.416529,"NITBUS -N6--","Horta-Guinardó","el Guinardó"
"K015","Night bus stop",2.157234,41.427204,"NITBUS -N4--","Horta-Guinardó","el Carmel"
"K014","Day bus stop",2.195636,41.388372,"BUS -59-92-V21-V27-136--","Sant Martí","la Vila Olímpica del Poblenou"
"K015","Night bus stop",2.201569,41.394416,"NITBUS -N6-N8--","Sant Martí","el Poblenou"
"K014","Day bus stop",2.138156,41.414442,"BUS -22-60-123-124-131-V15-H4--","Gràcia","Vallcarca i els Penitents"
"K014","Day bus stop",2.199828,41.41819,"BUS -33-B24-H10--","Sant Martí","Sant Martí de Provençals"
"K015","Night bus stop",2.199828,41.41819,"NITBUS -N8--","Sant Martí","Sant Martí de Provençals"
"K014","Day bus stop",2.161697,41.42082,"BUS -119--","Horta-Guinardó","el Carmel"
"K015","Night bus stop",2.182173,41.448956,"NITBUS -N1-N6--","Nou Barris","la Trinitat Nova"
"K014","Day bus stop",2.208285,41.436502,"BUS -11-V33--","Sant Andreu","el Bon Pastor"
"K014","Day bus stop",2.139849,41.419373,"BUS -60-V15-H4--","Gràcia","Vallcarca i els Penitents"
"K014","Day bus stop",2.14979,41.437245,"BUS -27-60-76-B19-H4--","Horta-Guinardó","Horta"
"K014","Day bus stop",2.144059,41.388504,"BUS -54--","Eixample","la Nova Esquerra de l'Eixample"
"K014","Day bus stop",2.154732,41.356257,"BUS -107--","Sants-Montjuïc","el Poble-sec"
"K014","Day bus stop",2.206516,41.397451,"BUS -H16-V27--","Sant Martí","el Poblenou"
"K015","Night bus stop",2.125645,41.395577,"NITBUS -N7--","Sarrià-Sant Gervasi","Sarrià"
"K014","Day bus stop",2.145754,41.431343,"BUS -27-60-76-B19-V21-H4--","Horta-Guinardó","la Vall d'Hebron"
"K014","Day bus stop",2.187051,41.416315,"BUS -62-H8--","Sant Andreu","Navas"
"K014","Day bus stop",2.090271,41.428131,"BUS -118--","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
"K014","Day bus stop",2.096522,41.420891,"BUS -128--","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
"K015","Night bus stop",2.163324,41.428419,"NITBUS -N4--","Horta-Guinardó","Horta"
"K015","Night bus stop",2.206766,41.404454,"NITBUS -N6--","Sant Martí","el Poblenou"
"K014","Day bus stop",2.143462,41.405387,"BUS -H6--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K015","Night bus stop",2.143462,41.405387,"NITBUS -N0--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K014","Day bus stop",2.185366,41.406335,"BUS -92--","Sant Martí","el Clot"
"K014","Day bus stop",2.174245,41.393821,"BUS -7-54-62-H12-D50--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.146711,41.421719,"BUS -19-119--","Horta-Guinardó","la Teixonera"
"K014","Day bus stop",2.186128,41.421128,"BUS -126-V27--","Sant Andreu","la Sagrera"
"K015","Night bus stop",2.160838,41.407952,"NITBUS -N6--","Gràcia","el Camp d'en Grassot i Gràcia Nova"
"K014","Day bus stop",2.129626,41.428395,"BUS -112--","Horta-Guinardó","Sant Genís dels Agudells"
"K014","Day bus stop",2.173476,41.43693,"BUS -47-82-D40-V29-D50--","Nou Barris","Porta"
"K015","Night bus stop",2.173476,41.43693,"NITBUS -N1-N6--","Nou Barris","Porta"
"K014","Day bus stop",2.17835,41.443609,"BUS -76-80-D50--","Nou Barris","Verdun"
"K014","Day bus stop",2.168998,41.394629,"BUS -47--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.147551,41.375275,"BUS -D20-52--","Sants-Montjuïc","Hostafrancs"
"K015","Night bus stop",2.147551,41.375275,"NITBUS -N14-N2-N28--","Sants-Montjuïc","Hostafrancs"
"K014","Day bus stop",2.144555,41.37527,"BUS -D20-52--","Sants-Montjuïc","Hostafrancs"
"K015","Night bus stop",2.159029,41.409803,"NITBUS -N6--","Gràcia","el Camp d'en Grassot i Gràcia Nova"
"K014","Day bus stop",2.172754,41.391799,"BUS -47-62--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.161774,41.440717,"BUS -27-60-76-185-B19-H4--","Horta-Guinardó","Horta"
"K015","Night bus stop",2.173505,41.410651,"NITBUS -N1-N4--","Horta-Guinardó","el Baix Guinardó"
"K014","Day bus stop",2.144808,41.413297,"BUS -92-129-V17--","Gràcia","Vallcarca i els Penitents"
"K014","Day bus stop",2.187392,41.412554,"BUS -33-34-192-B24-H10--","Sant Martí","el Clot"
"K015","Night bus stop",2.187392,41.412554,"NITBUS -N9--","Sant Martí","el Clot"
"K014","Day bus stop",2.179666,41.462137,"BUS -62-104--","Nou Barris","Ciutat Meridiana"
"K014","Day bus stop",2.106687,41.387515,"BUS -60-63-68-75-78-H4--","Les Corts","Pedralbes"
"K014","Day bus stop",2.114307,41.396043,"BUS -68-75-H4--","Les Corts","Pedralbes"
"K015","Night bus stop",2.167119,41.441507,"NITBUS -N4--","Nou Barris","la Guineueta"
"K014","Day bus stop",2.150371,41.394319,"BUS -6-7-33-34-H8--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K015","Night bus stop",2.132851,41.389142,"NITBUS -N0--","Les Corts","les Corts"
"K014","Day bus stop",2.138599,41.413459,"BUS -22-92-123-124-131-V15-H4--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K015","Night bus stop",2.180529,41.447411,"NITBUS -N1-N6--","Nou Barris","la Trinitat Nova"
"K014","Day bus stop",2.143537,41.364371,"BUS -13--","Sants-Montjuïc","el Poble-sec"
"K015","Night bus stop",2.187093,41.412902,"NITBUS -N3--","Sant Martí","el Clot"
"K014","Day bus stop",2.157649,41.417945,"BUS -24-92--","Horta-Guinardó","el Carmel"
"K015","Night bus stop",2.181501,41.380486,"NITBUS -N0-N6--","Ciutat Vella","el Barri Gòtic"
"K014","Day bus stop",2.180397,41.379118,"BUS -59-D20-H14-V13--","Ciutat Vella","el Barri Gòtic"
"K014","Day bus stop",2.183149,41.460899,"BUS -96-104--","Nou Barris","Vallbona"
"K014","Day bus stop",2.188236,41.417595,"BUS -V27--","Sant Andreu","Navas"
"K015","Night bus stop",2.202834,41.443608,"NITBUS -N8--","Sant Andreu","el Bon Pastor"
"K014","Day bus stop",2.127511,41.385229,"BUS -59-70-75-V3-V5--","Les Corts","les Corts"
"K014","Day bus stop",2.122606,41.38563,"BUS -113-M12--","Les Corts","la Maternitat i Sant Ramon"
"K014","Day bus stop",2.172287,41.435892,"BUS -47-82-D40-V29-D50--","Nou Barris","la Guineueta"
"K014","Day bus stop",2.175296,41.395499,"BUS -6-19-55-D50--","Eixample","la Dreta de l'Eixample"
"K015","Night bus stop",2.183015,41.401411,"NITBUS -N3-N7--","Eixample","el Fort Pienc"
"K014","Day bus stop",2.150528,41.394196,"BUS -6-7-33-34-H8--","Eixample","l'Antiga Esquerra de l'Eixample"
"K014","Day bus stop",2.198939,41.398516,"BUS -B25-B20-136--","Sant Martí","el Poblenou"
"K015","Night bus stop",2.165652,41.39722,"NITBUS -N6--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.1893,41.414006,"BUS -192--","Sant Andreu","Navas"
"K014","Day bus stop",2.141165,41.353282,"BUS -H16--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.145063,41.402552,"BUS -V15--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K015","Night bus stop",2.150009,41.402839,"NITBUS -N4--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K014","Day bus stop",2.136705,41.384958,"BUS -54--","Les Corts","les Corts"
"K015","Night bus stop",2.156911,41.393589,"NITBUS -N5--","Eixample","l'Antiga Esquerra de l'Eixample"
"K015","Night bus stop",2.154344,41.392281,"NITBUS -N8--","Eixample","l'Antiga Esquerra de l'Eixample"
"K014","Day bus stop",2.189541,41.418528,"BUS -126-V27--","Sant Andreu","la Sagrera"
"K014","Day bus stop",2.18643,41.442326,"BUS -97-104--","Sant Andreu","Sant Andreu"
"K014","Day bus stop",2.181002,41.463622,"BUS -97-80-83-81--","Nou Barris","Vallbona"
"K015","Night bus stop",2.180631,41.398577,"NITBUS -N2-N3--","Eixample","el Fort Pienc"
"K015","Night bus stop",2.177385,41.385136,"NITBUS -N8-N28--","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K015","Night bus stop",2.133358,41.329651,"NITBUS -N1--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.13622,41.329194,"BUS -21-109--","Sants-Montjuïc","la Marina del Prat Vermell"
"K015","Night bus stop",2.13622,41.329194,"NITBUS -N1--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.117326,41.334041,"BUS -109--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.185287,41.447895,"BUS -127-80-81-D50--","Nou Barris","la Trinitat Nova"
"K015","Night bus stop",2.191709,41.427505,"NITBUS -N9--","Sant Andreu","la Sagrera"
"K015","Night bus stop",2.168271,41.404866,"NITBUS -N4--","Gràcia","el Camp d'en Grassot i Gràcia Nova"
"K014","Day bus stop",2.188337,41.377671,"BUS -39-V15--","Ciutat Vella","la Barceloneta"
"K014","Day bus stop",2.201307,41.425305,"BUS -33-B24-V31-136--","Sant Martí","la Verneda i la Pau"
"K014","Day bus stop",2.174611,41.439637,"BUS -11-D40-V29--","Nou Barris","Verdun"
"K015","Night bus stop",2.177339,41.462697,"NITBUS -N3--","Nou Barris","Ciutat Meridiana"
"K015","Night bus stop",2.179421,41.461213,"NITBUS -N3--","Nou Barris","Ciutat Meridiana"
"K015","Night bus stop",2.175909,41.461506,"NITBUS -N3--","Nou Barris","Ciutat Meridiana"
"K015","Night bus stop",2.189811,41.445164,"NITBUS -N3--","Sant Andreu","Sant Andreu"
"K014","Day bus stop",2.136325,41.376051,"BUS -115--","Sants-Montjuïc","Sants"
"K014","Day bus stop",2.134136,41.414278,"BUS -92-123-196--","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova"
"K014","Day bus stop",2.154352,41.439588,"BUS -102-185--","Horta-Guinardó","Horta"
"K014","Day bus stop",2.148555,41.374322,"BUS -46-65-79-91-109-165-L70-L72-L94-L95-CJ-H12-H16-E95--","Sants-Montjuïc","el Poble-sec"
"K014","Day bus stop",2.147535,41.375134,"BUS -D20-52--","Sants-Montjuïc","Hostafrancs"
"K015","Night bus stop",2.195048,41.383609,"NITBUS -N8-N28--","Ciutat Vella","la Barceloneta"
"K015","Night bus stop",2.179287,41.402451,"NITBUS -N0-N3-N7-N9--","Eixample","la Sagrada Família"
"K014","Day bus stop",2.144207,41.397004,"BUS -68-V11--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K014","Day bus stop",2.132674,41.404182,"BUS -V11--","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova"
"K014","Day bus stop",2.151304,41.420233,"BUS -92-87-V17--","Horta-Guinardó","el Carmel"
"K015","Night bus stop",2.147349,41.397957,"NITBUS -N8--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K015","Night bus stop",2.144534,41.352309,"NITBUS -N1--","Sants-Montjuïc","la Marina del Prat Vermell"
"K014","Day bus stop",2.137742,41.369917,"BUS -91--","Sants-Montjuïc","la Bordeta"
"K014","Day bus stop",2.184065,41.399536,"BUS -62--","Eixample","el Fort Pienc"
"K014","Day bus stop",2.17144,41.38857,"BUS -52--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.191359,41.420891,"BUS -34--","Sant Andreu","la Sagrera"
"K014","Day bus stop",2.102895,41.411023,"BUS -111--","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
"K015","Night bus stop",2.175509,41.463715,"NITBUS -N3--","",""
"K014","Day bus stop",2.188176,41.411243,"BUS -33-34-B24-H10--","Sant Martí","el Clot"
"K015","Night bus stop",2.186537,41.425411,"NITBUS -N3--","Sant Andreu","la Sagrera"
"K014","Day bus stop",2.115373,41.403855,"BUS -130--","Sarrià-Sant Gervasi","Sarrià"
"K014","Day bus stop",2.169098,41.390336,"BUS -7-54-H12--","Eixample","la Dreta de l'Eixample"
"K015","Night bus stop",2.166016,41.399796,"NITBUS -N6--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.182738,41.388876,"BUS -B25-B20-H16--","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K014","Day bus stop",2.183046,41.387793,"BUS -39-H14--","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K014","Day bus stop",2.206737,41.405599,"BUS -B25-V27--","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou"
"K015","Night bus stop",2.174874,41.40582,"NITBUS -N0-N1--","Eixample","la Sagrada Família"
"K014","Day bus stop",2.147065,41.435064,"BUS -27-60-76-B19-H4--","Horta-Guinardó","Montbau"
"K014","Day bus stop",2.18499,41.382601,"BUS -39-45-59-D20-V15-V13--","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera"
"K015","Night bus stop",2.178146,41.463585,"NITBUS -N3--","Nou Barris","Ciutat Meridiana"
"K015","Night bus stop",2.140658,41.404274,"NITBUS -N0--","Sarrià-Sant Gervasi","Sant Gervasi - Galvany"
"K014","Day bus stop",2.122895,41.375634,"BUS -D20-52--","Sants-Montjuïc","Sants - Badal"
"K014","Day bus stop",2.129579,41.377255,"BUS -70--","Sants-Montjuïc","Sants - Badal"
"K014","Day bus stop",2.155959,41.408386,"BUS -116--","Gràcia","la Vila de Gràcia"
"K014","Day bus stop",2.116694,41.417759,"BUS -111--","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
"K014","Day bus stop",2.132444,41.428345,"BUS -112--","Horta-Guinardó","Sant Genís dels Agudells"
"K014","Day bus stop",2.145696,41.376547,"BUS -115--","Sants-Montjuïc","Hostafrancs"
"K014","Day bus stop",2.150597,41.426243,"BUS -112-185--","Horta-Guinardó","la Clota"
"K014","Day bus stop",2.171171,41.410384,"BUS -V21--","Horta-Guinardó","el Baix Guinardó"
"K014","Day bus stop",2.166162,41.424454,"BUS -39-117--","Horta-Guinardó","la Font d'en Fargues"
"K014","Day bus stop",2.161525,41.413103,"BUS -39-55-92-114--","Gràcia","la Salut"
"K014","Day bus stop",2.147054,41.408632,"BUS -22-V17--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K014","Day bus stop",2.146629,41.405611,"BUS -H6--","Sarrià-Sant Gervasi","el Putxet i el Farró"
"K014","Day bus stop",2.110853,41.391517,"BUS -113--","Les Corts","Pedralbes"
"K014","Day bus stop",2.162575,41.417222,"BUS -114--","Horta-Guinardó","Can Baró"
"K014","Day bus stop",2.088591,41.427107,"BUS -118--","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes"
"K014","Day bus stop",2.114128,41.390145,"BUS -54--","Les Corts","Pedralbes"
"K014","Day bus stop",2.177769,41.432146,"BUS -11-132--","Nou Barris","Porta"
"K014","Day bus stop",2.176965,41.424592,"BUS -19-45--","Sant Andreu","el Congrés i els Indians"
"K014","Day bus stop",2.170061,41.385222,"BUS -59-V13--","Ciutat Vella","el Raval"
"K014","Day bus stop",2.180326,41.398769,"BUS -6-7-62-H12--","Eixample","el Fort Pienc"
"K014","Day bus stop",2.199572,41.448356,"BUS -11-60-B19-M28--","Sant Andreu","Baró de Viver"
"K015","Night bus stop",2.168853,41.387604,"NITBUS -N1-N2-N3-N6-N8-N28--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.156463,41.41646,"BUS -24-92--","Horta-Guinardó","Can Baró"
"K014","Day bus stop",2.138521,41.42061,"BUS -119--","Gràcia","Vallcarca i els Penitents"
"K014","Day bus stop",2.151541,41.409257,"BUS -116--","Gràcia","la Salut"
"K014","Day bus stop",2.155129,41.400261,"BUS -22-24-87-V17--","Gràcia","la Vila de Gràcia"
"K015","Night bus stop",2.1533,41.40184,"NITBUS -N4--","Gràcia","la Vila de Gràcia"
"K014","Day bus stop",2.166742,41.401252,"BUS -55--","Eixample","la Dreta de l'Eixample"
"K014","Day bus stop",2.196451,41.385799,"BUS -45--","Ciutat Vella","la Barceloneta"
"K014","Day bus stop",2.154874,41.410335,"BUS -116--","Gràcia","la Salut"
"K014","Day bus stop",2.163982,41.409607,"BUS -55-92-114--","Gràcia","el Camp d'en Grassot i Gràcia Nova"
"K014","Day bus stop",2.161062,41.430518,"BUS -185--","Horta-Guinardó","Horta"
"K015","Night bus stop",2.194835,41.386247,"NITBUS -N0-N6-N8-N28--","Ciutat Vella","la Barceloneta"
"K014","Day bus stop",2.144913,41.371972,"BUS -46-65-79-109-165-L70-L72-L80-L81-L86-L87-L94-L95-H12-H16-E95--","Sants-Montjuïc","Hostafrancs"
"K015","Night bus stop",2.144913,41.371972,"NITBUS -N1-N13-N15-N16-N17-N18--","Sants-Montjuïc","Hostafrancs"
